Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;21050 Moguer;Colombia;53
Ambos sexos;21050 Moguer;Ecuador;39
Ambos sexos;21050 Moguer;Total Asia;5
Ambos sexos;21050 Moguer;Resto;0
Ambos sexos;21051 Nava (La);Total Unión Europea;4
Ambos sexos;21051 Nava (La);Reino Unido;0
Ambos sexos;21051 Nava (La);Alemania;0
Ambos sexos;21051 Nava (La);Total Africa;0
Ambos sexos;21051 Nava (La);Marruecos;0
Ambos sexos;21051 Nava (La);Total América;0
Ambos sexos;21051 Nava (La);Colombia;0
Ambos sexos;21051 Nava (La);Ecuador;0
Ambos sexos;21051 Nava (La);Total Asia;0
Ambos sexos;21051 Nava (La);Resto;0
Ambos sexos;21052 Nerva;Total Unión Europea;2
Ambos sexos;21052 Nerva;Reino Unido;0
Ambos sexos;21052 Nerva;Alemania;2
Ambos sexos;21052 Nerva;Total Africa;1
Ambos sexos;21052 Nerva;Marruecos;1
Ambos sexos;21052 Nerva;Total América;1
Ambos sexos;21052 Nerva;Colombia;0
Ambos sexos;21052 Nerva;Ecuador;1
Ambos sexos;21052 Nerva;Total Asia;0
Ambos sexos;21052 Nerva;Resto;0
Ambos sexos;21053 Niebla;Total Unión Europea;4
Ambos sexos;21053 Niebla;Reino Unido;0
Ambos sexos;21053 Niebla;Alemania;0
Ambos sexos;21053 Niebla;Total Africa;3
Ambos sexos;21053 Niebla;Marruecos;3
Ambos sexos;21053 Niebla;Total América;3
