Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;073  Villaviciosa de Córdoba;Africa;..
Ambos sexos;073  Villaviciosa de Córdoba;América;4
Ambos sexos;073  Villaviciosa de Córdoba;Asia;..
Ambos sexos;073  Villaviciosa de Córdoba;Europa;1
Ambos sexos;073  Villaviciosa de Córdoba;Resto;..
Ambos sexos;074  Viso (El);Africa;..
Ambos sexos;074  Viso (El);América;..
Ambos sexos;074  Viso (El);Asia;..
Ambos sexos;074  Viso (El);Europa;1
Ambos sexos;074  Viso (El);Resto;..
Ambos sexos;075  Zuheros;Africa;..
Ambos sexos;075  Zuheros;América;..
Ambos sexos;075  Zuheros;Asia;..
Ambos sexos;075  Zuheros;Europa;..
Ambos sexos;075  Zuheros;Resto;..
