Municipios,Año,Total,Provincia,Clasificación
Castro de Filabres,2018,121.0,Almería,1
Castro de Filabres,2017,130.0,Almería,1
Castro de Filabres,2016,139.0,Almería,1
Castro de Filabres,2015,147.0,Almería,1
Castro de Filabres,2014,134.0,Almería,1
Castro de Filabres,2013,148.0,Almería,1
Castro de Filabres,2012,157.0,Almería,1
Castro de Filabres,2011,162.0,Almería,1
Castro de Filabres,2010,154.0,Almería,1
Castro de Filabres,2009,161.0,Almería,1
Castro de Filabres,2008,160.0,Almería,1
Castro de Filabres,2007,166.0,Almería,1
Castro de Filabres,2006,155.0,Almería,1
Castro de Filabres,2005,163.0,Almería,1
Castro de Filabres,2004,162.0,Almería,1
Castro de Filabres,2003,166.0,Almería,1
Castro de Filabres,2002,172.0,Almería,1
Castro de Filabres,2001,170.0,Almería,1
Castro de Filabres,2000,170.0,Almería,1
Castro de Filabres,1999,181.0,Almería,1
Castro de Filabres,1998,181.0,Almería,1
Chercos,2019,278.0,Almería,1
Chercos,2018,283.0,Almería,1
Chercos,2017,291.0,Almería,1
Chercos,2016,267.0,Almería,1
Chercos,2015,275.0,Almería,1
Chercos,2014,280.0,Almería,1
Chercos,2013,284.0,Almería,1
