,Sexo,Municipios,País de nacimiento,Total,Año
379,Ambos sexos,Chercos,Europa,1,1999
380,Ambos sexos,Chercos,Europa,1,2000
381,Ambos sexos,Chercos,Europa,1,2001
382,Ambos sexos,Chercos,Total Unión Europea,0.0,2002
383,Ambos sexos,Chercos,Total Europa,5.0,2004
384,Ambos sexos,Chercos,Total Europa,14,2005
385,Ambos sexos,Chercos,Total Europa,16.0,2006
386,Ambos sexos,Chercos,Total Europa,15.0,2007
387,Ambos sexos,Chercos,Total Europa,22.0,2008
388,Ambos sexos,Chercos,Total Europa,24.0,2009
389,Ambos sexos,Chercos,Total Europa,24.0,2010
390,Ambos sexos,Chercos,Total Europa,25.0,2011
391,Ambos sexos,Chercos,Total Europa,25.0,2012
392,Ambos sexos,Chercos,Total Europa,13.0,2013
393,Ambos sexos,Chercos,Total Europa,16.0,2014
394,Ambos sexos,Chercos,Total Europa,13.0,2015
395,Ambos sexos,Chercos,Total Europa,9.0,2016
396,Ambos sexos,Chercos,Total Europa,18.0,2017
397,Ambos sexos,Chercos,Total Europa,20.0,2018
398,Ambos sexos,Chercos,Total Europa,17.0,2019
399,Ambos sexos,Cóbdar,Europa,0,1998
400,Ambos sexos,Cóbdar,Europa,0,1999
401,Ambos sexos,Cóbdar,Europa,0,2000
402,Ambos sexos,Cóbdar,Europa,0,2001
403,Ambos sexos,Cóbdar,Total Unión Europea,1.0,2002
404,Ambos sexos,Cóbdar,Total Europa,7.0,2004
405,Ambos sexos,Cóbdar,Total Europa,6,2005
406,Ambos sexos,Cóbdar,Total Europa,6.0,2006
407,Ambos sexos,Cóbdar,Total Europa,7.0,2007
408,Ambos sexos,Cóbdar,Total Europa,7.0,2008
409,Ambos sexos,Cóbdar,Total Europa,12.0,2009
410,Ambos sexos,Cóbdar,Total Europa,12.0,2010
411,Ambos sexos,Cóbdar,Total Europa,14.0,2011
412,Ambos sexos,Cóbdar,Total Europa,13.0,2012
413,Ambos sexos,Cóbdar,Total Europa,8.0,2013
414,Ambos sexos,Cóbdar,Total Europa,6.0,2014
415,Ambos sexos,Cóbdar,Total Europa,7.0,2015
416,Ambos sexos,Cóbdar,Total Europa,6.0,2016
417,Ambos sexos,Cóbdar,Total Europa,4.0,2017
418,Ambos sexos,Cóbdar,Total Europa,3.0,2018
419,Ambos sexos,Cóbdar,Total Europa,5.0,2019
420,Ambos sexos,Enix,Europa,7,1998
421,Ambos sexos,Enix,Europa,10,1999
422,Ambos sexos,Enix,Europa,12,2000
423,Ambos sexos,Enix,Europa,15,2001
424,Ambos sexos,Enix,Total Unión Europea,14.0,2002
425,Ambos sexos,Enix,Total Europa,25.0,2004
426,Ambos sexos,Enix,Total Europa,26,2005
427,Ambos sexos,Enix,Total Europa,29.0,2006
428,Ambos sexos,Enix,Total Europa,47.0,2007
429,Ambos sexos,Enix,Total Europa,83.0,2008
430,Ambos sexos,Enix,Total Europa,92.0,2009
431,Ambos sexos,Enix,Total Europa,97.0,2010
432,Ambos sexos,Enix,Total Europa,101.0,2011
433,Ambos sexos,Enix,Total Europa,107.0,2012
434,Ambos sexos,Enix,Total Europa,109.0,2013
435,Ambos sexos,Enix,Total Europa,87.0,2014
436,Ambos sexos,Enix,Total Europa,80.0,2015
437,Ambos sexos,Enix,Total Europa,75.0,2016
438,Ambos sexos,Enix,Total Europa,73.0,2017
439,Ambos sexos,Enix,Total Europa,60.0,2018
440,Ambos sexos,Enix,Total Europa,84.0,2019
441,Ambos sexos,Felix,Europa,10,1998
442,Ambos sexos,Felix,Europa,12,1999
443,Ambos sexos,Felix,Europa,13,2000
444,Ambos sexos,Felix,Europa,12,2001
445,Ambos sexos,Felix,Total Unión Europea,14.0,2002
446,Ambos sexos,Felix,Total Europa,14.0,2004
447,Ambos sexos,Felix,Total Europa,14,2005
448,Ambos sexos,Felix,Total Europa,14.0,2006
449,Ambos sexos,Felix,Total Europa,30.0,2007
450,Ambos sexos,Felix,Total Europa,59.0,2008
451,Ambos sexos,Felix,Total Europa,55.0,2009
452,Ambos sexos,Felix,Total Europa,53.0,2010
453,Ambos sexos,Felix,Total Europa,53.0,2011
454,Ambos sexos,Felix,Total Europa,56.0,2012
455,Ambos sexos,Felix,Total Europa,56.0,2013
456,Ambos sexos,Felix,Total Europa,41.0,2014
457,Ambos sexos,Felix,Total Europa,36.0,2015
458,Ambos sexos,Felix,Total Europa,32.0,2016
459,Ambos sexos,Felix,Total Europa,39.0,2017
460,Ambos sexos,Felix,Total Europa,44.0,2018
461,Ambos sexos,Felix,Total Europa,45.0,2019
462,Ambos sexos,Fondón,Europa,4,1998
463,Ambos sexos,Fondón,Europa,4,1999
464,Ambos sexos,Fondón,Europa,4,2000
465,Ambos sexos,Fondón,Europa,4,2001
466,Ambos sexos,Fondón,Total Unión Europea,1.0,2002
467,Ambos sexos,Fondón,Total Europa,8.0,2004
468,Ambos sexos,Fondón,Total Europa,8,2005
469,Ambos sexos,Fondón,Total Europa,9.0,2006
470,Ambos sexos,Fondón,Total Europa,14.0,2007
471,Ambos sexos,Fondón,Total Europa,22.0,2008
472,Ambos sexos,Fondón,Total Europa,27.0,2009
473,Ambos sexos,Fondón,Total Europa,25.0,2010
474,Ambos sexos,Fondón,Total Europa,21.0,2011
475,Ambos sexos,Fondón,Total Europa,25.0,2012
476,Ambos sexos,Fondón,Total Europa,24.0,2013
477,Ambos sexos,Fondón,Total Europa,24.0,2014
478,Ambos sexos,Fondón,Total Europa,27.0,2015
479,Ambos sexos,Fondón,Total Europa,28.0,2016
480,Ambos sexos,Fondón,Total Europa,30.0,2017
