Municipios,Origen,Total,Año,Provincia
Cádiz,Asia,0.020960112905141517,1998,Cádiz
Cádiz,Europa,0.07056571344730977,1998,Cádiz
Cádiz,Oceanía,0.0006986704301713838,1998,Cádiz
Castellar de la Frontera,Africa,0.0,1998,Cádiz
Castellar de la Frontera,América,0.08237232289950577,1998,Cádiz
Castellar de la Frontera,Asia,0.0,1998,Cádiz
Castellar de la Frontera,Europa,2.9654036243822075,1998,Cádiz
Castellar de la Frontera,Oceanía,0.0,1998,Cádiz
Conil de la Frontera,Africa,0.19310667680964363,1998,Cádiz
Conil de la Frontera,América,0.08777576218620164,1998,Cádiz
Conil de la Frontera,Asia,0.03511030487448066,1998,Cádiz
Conil de la Frontera,Europa,0.8133887295921353,1998,Cádiz
Conil de la Frontera,Oceanía,0.00585171747908011,1998,Cádiz
Chiclana de la Frontera,Africa,0.054059898367391064,1998,Cádiz
Chiclana de la Frontera,América,0.06847587126536202,1998,Cádiz
Chiclana de la Frontera,Asia,0.025227952571449164,1998,Cádiz
Chiclana de la Frontera,Europa,0.27210148844920173,1998,Cádiz
Chiclana de la Frontera,Oceanía,0.0018019966122463688,1998,Cádiz
Chipiona,Africa,0.08756019763587466,1998,Cádiz
Chipiona,América,0.45656388767277506,1998,Cádiz
Chipiona,Asia,0.050034398649071235,1998,Cádiz
Chipiona,Europa,0.20639189442741884,1998,Cádiz
Chipiona,Oceanía,0.0,1998,Cádiz
Espera,Africa,0.0,1998,Cádiz
