,Municipio,variable,value
536,Jerez de la Frontera,septiembre_2009,4.62
537,Marbella,septiembre_2009,3.35
538,Málaga,septiembre_2009,3.63
539,Sevilla,septiembre_2009,4.12
540,Algeciras,octubre_2009,2.3
541,Almería,octubre_2009,3.51
542,Cádiz,octubre_2009,4.07
543,Córdoba,octubre_2009,3.12
544,Dos Hermanas,octubre_2009,2.9
545,Granada,octubre_2009,5.14
546,Huelva,octubre_2009,3.26
547,Jaén,octubre_2009,4.25
548,Jerez de la Frontera,octubre_2009,3.71
549,Marbella,octubre_2009,2.99
550,Málaga,octubre_2009,3.66
551,Sevilla,octubre_2009,4.01
552,Algeciras,noviembre_2009,2.43
553,Almería,noviembre_2009,2.87
554,Cádiz,noviembre_2009,3.86
555,Córdoba,noviembre_2009,3.19
556,Dos Hermanas,noviembre_2009,2.31
557,Granada,noviembre_2009,4.11
558,Huelva,noviembre_2009,2.7
559,Jaén,noviembre_2009,5.02
560,Jerez de la Frontera,noviembre_2009,3.57
561,Marbella,noviembre_2009,2.82
562,Málaga,noviembre_2009,3.26
563,Sevilla,noviembre_2009,3.68
564,Algeciras,diciembre_2009,1.99
565,Almería,diciembre_2009,2.59
566,Cádiz,diciembre_2009,3.55
567,Córdoba,diciembre_2009,3.29
568,Dos Hermanas,diciembre_2009,1.91
569,Granada,diciembre_2009,4.3
570,Huelva,diciembre_2009,2.35
571,Jaén,diciembre_2009,7.31
572,Jerez de la Frontera,diciembre_2009,3.3
573,Marbella,diciembre_2009,2.41
574,Málaga,diciembre_2009,2.95
575,Sevilla,diciembre_2009,3.32
576,Algeciras,enero_2010,1.69
577,Almería,enero_2010,2.19
578,Cádiz,enero_2010,3.18
579,Córdoba,enero_2010,2.83
580,Dos Hermanas,enero_2010,2.35
581,Granada,enero_2010,3.57
582,Huelva,enero_2010,2.76
583,Jaén,enero_2010,6.22
584,Jerez de la Frontera,enero_2010,2.99
585,Marbella,enero_2010,2.0
586,Málaga,enero_2010,2.6
587,Sevilla,enero_2010,2.96
588,Algeciras,febrero_2010,1.83
589,Almería,febrero_2010,2.31
590,Cádiz,febrero_2010,3.19
591,Córdoba,febrero_2010,2.94
592,Dos Hermanas,febrero_2010,2.09
593,Granada,febrero_2010,3.62
594,Huelva,febrero_2010,2.26
595,Jaén,febrero_2010,5.52
596,Jerez de la Frontera,febrero_2010,2.87
597,Marbella,febrero_2010,2.15
598,Málaga,febrero_2010,2.95
599,Sevilla,febrero_2010,2.84
600,Algeciras,marzo_2010,2.0
601,Almería,marzo_2010,2.62
602,Cádiz,marzo_2010,3.37
603,Córdoba,marzo_2010,3.22
604,Dos Hermanas,marzo_2010,2.35
605,Granada,marzo_2010,4.57
606,Huelva,marzo_2010,2.53
607,Jaén,marzo_2010,6.15
608,Jerez de la Frontera,marzo_2010,3.79
609,Marbella,marzo_2010,2.66
610,Málaga,marzo_2010,3.22
611,Sevilla,marzo_2010,3.47
612,Algeciras,abril_2010,1.95
613,Almería,abril_2010,2.37
614,Cádiz,abril_2010,3.36
615,Córdoba,abril_2010,3.04
616,Dos Hermanas,abril_2010,2.18
617,Granada,abril_2010,3.82
618,Huelva,abril_2010,2.46
619,Jaén,abril_2010,4.16
620,Jerez de la Frontera,abril_2010,4.33
621,Marbella,abril_2010,2.87
622,Málaga,abril_2010,2.94
623,Sevilla,abril_2010,3.17
624,Algeciras,mayo_2010,2.12
625,Almería,mayo_2010,2.68
626,Cádiz,mayo_2010,3.55
627,Córdoba,mayo_2010,2.99
628,Dos Hermanas,mayo_2010,2.06
629,Granada,mayo_2010,4.02
630,Huelva,mayo_2010,2.48
631,Jaén,mayo_2010,4.08
632,Jerez de la Frontera,mayo_2010,4.34
633,Marbella,mayo_2010,2.91
634,Málaga,mayo_2010,2.89
635,Sevilla,mayo_2010,3.45
636,Algeciras,junio_2010,2.15
637,Almería,junio_2010,2.81
638,Cádiz,junio_2010,4.01
639,Córdoba,junio_2010,3.14
640,Dos Hermanas,junio_2010,2.65
641,Granada,junio_2010,4.01
642,Huelva,junio_2010,2.66
643,Jaén,junio_2010,4.08
644,Jerez de la Frontera,junio_2010,3.76
645,Marbella,junio_2010,3.86
646,Málaga,junio_2010,3.29
647,Sevilla,junio_2010,3.79
648,Algeciras,julio_2010,2.67
649,Almería,julio_2010,2.85
650,Cádiz,julio_2010,4.07
651,Córdoba,julio_2010,3.23
652,Dos Hermanas,julio_2010,2.27
653,Granada,julio_2010,4.3
654,Huelva,julio_2010,2.85
655,Jaén,julio_2010,3.82
656,Jerez de la Frontera,julio_2010,3.52
657,Marbella,julio_2010,4.42
658,Málaga,julio_2010,3.4
659,Sevilla,julio_2010,3.76
